(103, 371)
(85, 146)
(378, 147)
(407, 566)
(125, 143)
(429, 139)
(248, 550)
(295, 288)
(413, 537)
(332, 74)
(382, 541)
(406, 575)
(178, 321)
(109, 76)
(38, 243)
(303, 315)
(97, 516)
(416, 27)
(249, 36)
(210, 227)
(236, 121)
(141, 236)
(21, 232)
(331, 293)
(304, 602)
(303, 532)
(376, 351)
(45, 210)
(138, 439)
(320, 213)
(158, 495)
(116, 312)
(15, 476)
(242, 506)
(368, 516)
(255, 368)
(57, 361)
(293, 419)
(346, 423)
(385, 5)
(295, 482)
(317, 394)
(152, 366)
(337, 544)
(413, 130)
(18, 210)
(371, 175)
(377, 420)
(192, 85)
(3, 529)
(155, 465)
(242, 387)
(6, 53)
(324, 36)
(117, 225)
(245, 156)
(237, 329)
(270, 100)
(29, 526)
(200, 113)
(380, 581)
(156, 442)
(212, 356)
(178, 570)
(256, 474)
(434, 362)
(143, 510)
(133, 86)
(264, 165)
(421, 515)
(390, 611)
(51, 11)
(128, 449)
(344, 148)
(194, 136)
(18, 243)
(91, 168)
(423, 465)
(320, 518)
(147, 54)
(398, 227)
(289, 271)
(294, 22)
(181, 518)
(3, 136)
(325, 305)
(25, 140)
(382, 398)
(186, 616)
(234, 511)
(126, 256)
(161, 291)
(21, 250)
(122, 612)
(369, 186)
(373, 476)
(360, 313)
(35, 469)
(412, 573)
(430, 25)
(242, 255)
(37, 611)
(254, 408)
(192, 282)
(6, 172)
(275, 354)
(403, 100)
(78, 207)
(405, 257)
(289, 577)
(223, 238)
(13, 79)
(315, 322)
(111, 359)
(103, 366)
(355, 107)
(398, 22)
(146, 562)
(435, 46)
(355, 55)
(13, 146)
(189, 319)
(374, 146)
(277, 53)
(50, 43)
(426, 490)
(220, 578)
(53, 227)
(334, 447)
(425, 400)
(102, 485)
(280, 209)
(26, 165)
(42, 553)
(302, 463)
(240, 393)
(199, 225)
(190, 170)
(37, 383)
(359, 88)
(385, 200)
(323, 221)
(243, 177)
(162, 350)
(260, 290)
(318, 47)
(170, 78)
(53, 36)
(153, 605)
(11, 370)
(268, 457)
(221, 350)
(19, 200)
(108, 590)
(83, 291)
(252, 43)
(28, 223)
(409, 556)
(260, 377)
(201, 426)
(319, 86)
(403, 404)
(163, 396)
(6, 507)
(71, 85)
(357, 219)
(403, 224)
(204, 451)
(406, 299)
(197, 94)
(336, 576)
(272, 3)
(437, 211)
(110, 505)
(423, 342)
(307, 522)
(413, 571)
(165, 535)
(167, 148)
(407, 571)
(130, 108)
(286, 14)
(161, 499)
(343, 276)
(317, 295)
(17, 76)
(5, 257)
(31, 480)
(308, 328)
(114, 223)
(184, 283)
(353, 311)
(359, 505)
(390, 438)
(188, 42)
(126, 118)
(378, 447)
(13, 36)
(97, 263)
(338, 290)
(46, 50)
(180, 263)
(384, 475)
(283, 159)
(91, 598)
(398, 497)
(285, 341)
(405, 190)
(415, 370)
(123, 467)
(98, 180)
(306, 613)
(264, 484)
(362, 557)
(434, 226)
(143, 462)
(189, 337)
(387, 296)
(3, 141)
(415, 172)
(333, 342)
(272, 65)
(281, 506)
(413, 256)
(2, 325)
(407, 608)
(217, 368)
(97, 517)
(393, 249)
(277, 569)
(168, 393)
(63, 188)
(312, 204)
(406, 444)
(372, 607)
(322, 136)
(425, 614)
(361, 42)
(146, 519)
(130, 327)
(113, 23)
(152, 550)
(375, 485)
(51, 268)
(404, 91)
(12, 616)
(348, 509)
(118, 105)
(138, 145)
(375, 254)
(159, 323)
(412, 560)
(416, 419)
(251, 417)
(176, 5)
(7, 211)
(3, 147)
(188, 327)
(311, 232)
(329, 227)
(83, 92)
(302, 291)
(214, 308)
(67, 225)
(103, 307)
(434, 491)
(192, 293)
(348, 575)
(150, 91)
(291, 152)
(391, 583)
(407, 211)
(93, 182)
(327, 344)
(15, 254)
(317, 429)
(401, 475)
(141, 610)
(152, 32)
(400, 204)
(279, 44)
(347, 440)
(305, 94)
(355, 445)
(225, 21)
(203, 372)
(33, 445)
(259, 176)
(239, 315)
(181, 28)
(324, 152)
(366, 232)
(8, 549)
(131, 550)
(114, 146)
(16, 267)
(152, 91)
(153, 276)
(335, 562)
(328, 344)
(60, 576)
(255, 243)
(185, 23)
(320, 133)
(50, 173)
(341, 524)
(425, 403)
(88, 2)
(91, 95)
(414, 263)
(354, 529)
(128, 331)
(362, 540)
(360, 299)
(224, 432)
(247, 160)
(242, 569)
(209, 464)
(338, 197)
(215, 330)
(382, 489)
(227, 312)
(435, 460)
(176, 503)
(435, 468)
(93, 545)
(125, 272)
(270, 367)
(188, 401)
(394, 513)
(240, 574)
(51, 501)
(329, 1)
(205, 320)
(391, 590)
(323, 87)
(234, 579)
(401, 439)
(189, 292)
(279, 40)
(269, 606)
(9, 393)
(124, 380)
(406, 423)
(379, 156)
(398, 362)
(72, 253)
(63, 573)
(395, 71)
(206, 542)
(109, 584)
